"Date","Price","Open","High","Low","Change %"
"Sep 05, 2019","715.83","723.16","723.16","712.59","-0.96%"
"Sep 04, 2019","722.77","725.16","726.00","721.65","-0.34%"
"Sep 03, 2019","725.25","724.96","727.66","724.10","0.00%"
"Sep 02, 2019","725.25","722.15","726.45","722.15","0.55%"
"Aug 30, 2019","721.25","721.12","722.38","718.28","0.05%"
"Aug 29, 2019","720.92","723.67","723.72","718.53","-0.36%"
"Aug 28, 2019","723.51","723.22","726.82","721.41","0.06%"
"Aug 27, 2019","723.08","719.71","723.92","717.61","0.47%"
"Aug 26, 2019","719.70","719.58","720.30","716.36","0.00%"
"Aug 23, 2019","719.70","715.26","719.70","713.05","0.65%"
"Aug 22, 2019","715.07","711.55","715.92","710.24","0.47%"
"Aug 21, 2019","711.75","709.45","712.43","706.27","0.34%"
"Aug 20, 2019","709.33","713.60","714.28","708.33","-0.59%"
"Aug 19, 2019","713.56","708.15","714.44","707.00","0.76%"
"Aug 16, 2019","708.15","711.20","711.57","708.03","-0.36%"
"Aug 15, 2019","710.70","710.96","712.02","710.36","-0.07%"
"Aug 14, 2019","711.20","704.16","713.03","704.16","1.05%"
"Aug 13, 2019","703.78","713.98","716.45","702.78","-1.41%"
"Aug 12, 2019","713.85","710.04","720.30","710.04","0.52%"
"Aug 09, 2019","710.14","710.06","713.52","710.05","0.03%"
"Aug 08, 2019","709.92","714.16","714.16","708.63","-0.63%"
"Aug 07, 2019","714.42","715.23","721.21","713.73","-0.03%"
"Aug 06, 2019","714.62","720.93","720.93","714.61","-0.89%"
"Aug 05, 2019","721.03","712.92","724.65","712.80","1.12%"
"Aug 02, 2019","713.05","706.92","714.02","706.92","0.89%"
"Aug 01, 2019","706.73","703.64","707.55","702.68","0.45%"
"Jul 31, 2019","703.58","699.07","704.13","696.77","0.68%"
"Jul 30, 2019","698.86","697.03","702.36","696.71","0.40%"
"Jul 29, 2019","696.10","695.61","698.77","695.34","0.12%"
"Jul 26, 2019","695.25","696.32","699.21","693.90","-0.18%"
"Jul 25, 2019","696.51","690.91","697.13","688.52","0.83%"
"Jul 24, 2019","690.78","691.47","693.47","689.72","-0.10%"
"Jul 23, 2019","691.50","689.18","693.93","688.89","0.34%"
"Jul 22, 2019","689.15","688.34","689.59","687.19","0.12%"
"Jul 19, 2019","688.31","682.45","688.76","681.42","0.85%"
"Jul 18, 2019","682.48","682.38","684.59","681.64","0.01%"
"Jul 17, 2019","682.38","681.76","682.89","679.92","0.06%"
"Jul 16, 2019","681.96","679.36","682.45","679.36","0.38%"
"Jul 15, 2019","679.36","679.95","681.37","677.25","-0.06%"
"Jul 12, 2019","679.75","680.74","682.83","678.97","-0.14%"
"Jul 11, 2019","680.70","686.35","686.48","680.30","-0.78%"
"Jul 10, 2019","686.04","688.58","688.75","683.98","-0.33%"
"Jul 09, 2019","688.33","687.90","691.76","686.23","0.08%"
"Jul 08, 2019","687.80","683.84","687.94","680.97","0.56%"
"Jul 05, 2019","684.00","679.29","685.05","678.25","0.74%"
"Jul 04, 2019","678.99","677.95","679.45","675.60","0.12%"
"Jul 03, 2019","678.15","680.21","681.95","677.65","-0.32%"
"Jul 02, 2019","680.35","680.59","683.26","679.35","0.02%"
"Jul 01, 2019","680.23","677.77","680.98","674.20","0.40%"
