Instrumento,Reaj,Duration,Monto,Fecha,Familia
BITA-O0612,UF,1.39,29641034,2020-01-02,BE
BFAL-A0510,UF,0.36,28740514,2020-01-02,BE
BESTO81015,UF,0.74,14506631,2020-01-02,BE
BESTO60715,UF,0.5,28656508,2020-01-02,BE
BCORAJ0710,UF,1.47,29446641,2020-01-02,BE
BCORAJ0710,UF,1.47,29446641,2020-01-02,BE
BCORAJ0710,UF,1.47,29446641,2020-01-02,BE
BCORAJ0710,UF,1.47,29446641,2020-01-02,BE
BCORAJ0710,UF,1.47,29446641,2020-01-02,BE
BCHIUP1211,UF,1.87,30030355,2020-01-02,BE
BCHIBB0815,UF,1.07,29274314,2020-01-02,BE
BBNS-Q0513,UF,3.16,31636500,2020-01-02,BE
BBNS-L0511,UF,1.3,29789661,2020-01-02,BE
BCFSA-C,UF,2.32,14382911,2020-01-02,BE
BANDI-C,UF,0.37,7230896,2020-01-02,BE
BANDI-C,UF,0.37,7230896,2020-01-02,BE
BANDI-C,UF,0.37,7230896,2020-01-02,BE
BANDI-C,UF,0.37,3615448,2020-01-02,BE
BANDI-C,UF,0.37,3615448,2020-01-02,BE
BAGUA-Z,UF,1.5,12756411,2020-01-02,BE
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,1597947920,2020-01-02,BT
BCP0600323,$,2.89,113617613,2020-01-02,BT
BCP0600323,$,2.89,113617613,2020-01-02,BT
BCP0600323,$,2.89,113617613,2020-01-02,BT
BCP0600323,$,2.89,113617613,2020-01-02,BT
BCP0600323,$,2.89,113617613,2020-01-02,BT
BCP0600323,$,2.89,1192898967,2020-01-02,BT
BTU0190930,UF,9.75,4991472973,2020-01-02,BT
BBCIC30717,UF,5.24,608505795,2020-01-02,BE
BTP0450221,$,1.13,523295891,2020-01-02,BT
BTP0450221,$,1.13,523295891,2020-01-02,BT
BCU0500922,UF,2.5,857201188,2020-01-02,BT
BTP0470930,$,8.56,580152587,2020-01-02,BT
BTP0470930,$,8.56,348091552,2020-01-02,BT
BSALF-T,UF,6.26,25172961,2020-01-02,BE
BBCIC30717,UF,5.24,608788953,2020-01-02,BE
BTP0470930,$,8.56,580175562,2020-01-02,BT
BTP0470930,$,8.56,580175562,2020-01-02,BT
BTP0470930,$,8.55,580346096,2020-01-02,BT
BTP0470930,$,8.56,232061035,2020-01-02,BT
BTP0500335,$,11.04,597940045,2020-01-02,BT
BCHIUO0911,UF,1.62,1503769043,2020-01-02,BE
BTP0400323,$,2.97,534336667,2020-01-02,BT
BTP0400323,$,2.97,160283619,2020-01-02,BT
BTP0500335,$,11.04,239176018,2020-01-02,BT
BSECB50816,UF,1.55,2944166512,2020-01-02,BE
BTP0600122,$,1.92,108047486,2020-01-02,BT
BCORAI0710,UF,0.5,2870198064,2020-01-02,BE
BTU0190930,UF,9.75,333078283,2020-01-02,BT
BTU0300124,UF,3.81,624949760,2020-01-02,BT
